Numero catalogo,Nome,Tipo di oggetto,Costellazione,Coordinate (2000),Distanza,Magnitudine visuale,Dimensioni apparenti,Dimensioni reali,Descrizione
M1,Nebulosa Granchio (Crab Nebula) NGC 1952,Resto di supernova,Toro,"A.R. 05h 34,5min; Dec. +22° 01'",6300 a.l.,"8,4",6' × 4',"11 × 7,5 a.l.","La Nebulosa Granchio (nota anche come Nebulosa del Granchio o con le sigle di catalogo M 1 e NGC 1952) è un resto di supernova visibile nella costellazione del Toro. Scoperta nel 1731 da John Bevis, la nebulosa è il primo oggetto del catalogo di oggetti astronomici pubblicato da Charles Messier nel 1774.La nebulosa, oggi vasta più di sei anni luce, è formata dai gas in espansione espulsi durante l'esplosione della Supernova 1054; i gas si stanno espandendo alla velocità di 1 500 km/s e possiedono una massa totale di circa (4,6 ± 1,8) M⊙. La supernova che la produsse fu osservata per la prima volta il 4 luglio 1054 e venne registrata dagli astronomi cinesi e arabi dell'epoca; la sua luminosità era tale che la magnitudine apparente dell'evento fu compresa tra −7 e −4,5, tale da renderla visibile ad occhio nudo durante il giorno, sorpassando la luminosità apparente di Venere. Al centro della nebulosa si trova la pulsar del Granchio (nota anche come PSR B0531+21), una stella di neutroni con un diametro di circa 10 chilometri, scoperta nel 1968: fu la prima osservazione di un'associazione tra pulsar e resti di supernova, una scoperta fondamentale per l'interpretazione delle pulsar come stelle di neutroni.La Nebulosa Granchio è spesso usata come calibrazione nell'astronomia a raggi X: è molto luminosa in questa banda, e il suo flusso è stabile, eccetto la pulsar vera e propria: quest'ultima infatti fornisce un forte segnale periodico che può essere usato per controllare le temporizzazioni dei sensori a raggi X. Nell'astronomia a raggi X, ""Crab"" (parola inglese che significa ""Granchio"") e ""milliCrab"" sono a volte usate come unità di flusso. Pochissime sorgenti a raggi X hanno una luminosità superiore ad 1 Crab."
M2,NGC 7089,Ammasso globulare,Acquario,"A.R. 21h 33,5min; Dec. −0° 49'",37.000 a.l.,"6,5","12,9'",140 a.l.,"M 2 (noto anche come NGC 7089) è un ammasso globulare visibile nella costellazione dell'Aquario. Individuato per la prima volta da Giovanni Domenico Maraldi l'11 settembre 1746, mentre stava osservando la cometa di De Chéseaux, fu riscoperto più tardi in modo indipendente da Charles Messier, esattamente 14 anni dopo, l'11 settembre 1760. È situato a 5 gradi a nord di β Aquarii, alla stessa declinazione di α Aquarii. Data la sua magnitudine apparente, M2 è un oggetto difficile da osservare a occhio nudo, visibile solo in un cielo in condizioni ottimali, ma è un obiettivo semplice anche per ausili ottici minimi come binocoli da teatro, che mostrano una piccola stella avvolta da luce nebbiosa, in un campo privo di altre compagne."
M3,NGC 5272,Ammasso globulare,Cani da caccia,"A.R. 13h 42,2min; Dec. +28° 23'",33.000 a.l.,"6,2","16,2'",150 a.l.,"M 3 (conosciuto anche come NGC 5272) è un ammasso globulare visibile nella costellazione dei Cani da Caccia; è fra i più brillanti del cielo. Questo ammasso è uno dei più grandi e luminosi, ed è formato da circa 500.000 stelle. È situato a una distanza di circa 33.900 anni luce dalla Terra. M3 ha una magnitudine apparente di 6,2 che lo rende visibile a occhio nudo in determinate condizioni. Visto da un telescopio di dimensioni media, l'ammasso è completamente definito. Con M13 ed M5, M3 è uno dei tre ammassi globulari più brillanti dell'emisfero boreale. Ciò ha fatto sì che esso sia stato studiato più dia altri ammassi del suo tipo, e il diagramma H-R che risulta da questi studi dimostra che M3 è un ammasso formato da stelle estremamente vecchie. Si ritiene che abbiano un'età di circa 10 o più miliardi di anni, anche se le stime degli studiosi variano di molto. Una caratteristica veramente insolita di M3 è il fatto che contenga una giovanissima stella azzurra di tipo spettrale O8 (la prima delle cosiddette Blue Stragglers)."
M4,NGC 6121,Ammasso globulare,Scorpione,"A.R. 16h 23,6min; Dec. −26° 32'",5700 a.l.,"5,9",26',50 a.l.,"M 4 (noto anche come NGC 6121) è un brillante ammasso globulare visibile nella costellazione dello Scorpione; è visibile anche con piccoli strumenti. M4 è uno degli ammassi più facili da localizzare: basta infatti puntare su Antares e spostarsi di appena 1.3° ad ovest; in condizioni atmosferiche ottimali è perfino visibile ad occhio nudo, sebbene con estrema difficoltà, mentre già con un buon binocolo è facilmente osservabile. M4 è uno degli ammassi globulari più grandi e vicini a noi; secondo le misurazioni tradizionali, disterebbe solo 6.000 anni luce dalla Terra, con un'estensione apparente di 22,8 minuti d'arco. Ciò significherebbe che M4 ha un'estensione reale di circa 95 anni luce. Sono stati determinati la magnitudine e il colore di circa 660 stelle, tra le quali le più brillanti sono di magnitudine 15,6. In M4 sono note almeno 43 variabili tra cui 3 a breve periodo del tipo RR Lyrae e due semi-regolari rosse con periodo rispettivamente di 60 e 40 giorni. Nel 1987 è stata scoperta in M4 la prima pulsar con un periodo di circa tre millisecondi. M4 contiene più di 100.000 stelle, circa la metà delle quali è concentrata in 8 anni luce dal centro. Il 10 luglio 2003 il telescopio Hubble ha scoperto un pianeta orbitante attorno a un sistema binario, formato da una pulsar, PSR B1620-26, e da una nana bianca. Questo pianeta extrasolare, PSR B1620-26c, viene chiamato anche Matusalemme, a causa della sua età stimata: avrebbe, infatti, circa 13 miliardi di anni."
M5,NGC 5904,Ammasso globulare,Serpente,"A.R. 15h 18,6min; Dec. +02° 05'",24.000 a.l.,"5,8",17,120 a.l.,"M 5 (conosciuto anche come NGC 5904) è un ammasso globulare visibile nella costellazione del Serpente (Testa); è piuttosto brillante. M5 è situato ad una distanza di circa 24.500 anni luce dalla Terra e contiene più di 100.000 stelle (secondo alcune stime 500.000); si sa che almeno un centinaio di queste sono stelle variabili del tipo RR Lyrae, con periodi che si aggirano intorno ai 0.5 giorni. La sua magnitudine apparente è 5,6. Questo ammasso mostra una notevole ellitticità e con un'età stimata in 13 miliardi di anni si pensa sia uno degli ammassi globulari più vecchi. Ci appare di circa 17 primi d'arco e con un diametro reale di circa 130 anni luce è anche considerato uno dei più grandi ammassi globulari. M5 si sta allontanando da noi a circa 50 km/s"
M6,Ammasso Farfalla NGC 6405,Ammasso aperto,Scorpione,"A.R. 17h 40,1min; Dec. −32° 13'",1500-2000 a.l.,"4,2",54',20 a.l.,"L'Ammasso Farfalla (noto anche come M 6 o NGC 6405) è un brillante ammasso aperto visibile con facilità nella costellazionedello Scorpione. L'ammasso si estende per circa 20 anni luce e dista, secondo stime diverse, da 1500 a 2000 anni luce dalla Terra; l'incertezza è data soprattutto perché l'ammasso si trova in una regione oscurata dalla polvere interstellare. Come gli altri ammassi aperti è formato prevalentemente da stelle giovani blu sebbene la stella più luminosa sia arancione.L'età stimata di M6 è di circa 50 milioni di anni, il che lo rende simile a quella di diversi ammassi aperti situati lungo l'anello Lindblad, come l'Ammasso di Alfa Persei. Sono note circa 120 stelle che potrebbero essere membri fisici di M6; tuttavia, dato l'elevato numero di stelle che si sovrappongono sulla linea di vista, le componenti apparenti appaiono molte di più."
M7,"Coda dello Scorpione, Ammasso di Tolomeo NGC 6475",Ammasso aperto,Scorpione,"A.R. 17h 53,9min; Dec. −34° 49’",800 a.l.,"3,3",1° 20',19 a.l.,"M 7 (noto talvolta anche col nome Ammasso di Tolomeo o con la sigla NGC 6475) è un brillante ammasso aperto visibile nella costellazione dello Scorpione; era conosciuto anche in epoca antica ed è uno degli ammassi aperti più grandi e luminosi del cielo. M7 era già conosciuto da Tolomeo nel 130, che lo descrisse nel suo catalogo di oggetti del cielo come un ammasso nebuloso successivo alla coda dello Scorpione.M7 è formato da alcune centinaia di stelle, principalmente stelle blu; circa un'ottantina di queste sono più brillanti della decima magnitudine. Il diametro apparente dell'ammasso è di circa 1°,3, che alla distanza di 1000 anni luce equivale ad una dimensione reale di 25 anni luce; secondo studi condotti alla fine degli anni duemila, l'età dell'ammasso è di 200 milioni di anni, mentre il parametri di metallicità sono simili a quelli del Sole. La stella più brillante di M7 è una gigante gialla di magnitudine 5,6, dunque visibile già ad occhio nudo sotto buoni cieli, e di classe spettrale G8; a questa si aggiungono tre giganti rosse e alcune decine di stella di classe B e A. Alcune componenti di massa intermedia dell'ammasso presentano delle forti anomalie nella composizione della loro fotosfera; queste stelle possiedono una sovrabbondanza di alcuni elementi come il cromo e il manganese e una relativa scarsità di ossigeno e magnesio, nel caso delle stelle di classe A. Come ciò possa influire sull'evoluzione di queste stelle non è ancora ben chiaro."
M8,Nebulosa Laguna NGC 6523,Nebulosa ad emissione associata ad ammasso aperto,Sagittario,"A.R. 18h 03,8min; Dec. −24° 23'",5200 a.l.,"4,6",1° 30' × 40',140 × 60 a.l.,"La Nebulosa Laguna (anche nota come M 8, o NGC 6523) è una nebulosa diffusa visibile nella costellazione del Sagittario; fu scoperta da Le Gentil nel 1747. Si tratta di una delle regioni H II più brillanti della volta celeste ed è visibile anche ad occhio nudo sotto cieli abbastanza limpidi e bui.La Nebulosa Laguna appartiene al braccio di spirale galattico immediatamente più interno rispetto al nostro, il Braccio del Sagittario; dista circa 4100 anni luce dalla Terra ed è sede di alcuni oggetti e fenomeni astronomici interessanti, come ammassi aperti (vedi NGC 6530), regioni di formazione stellare, nebulose oscure, giovani stelle, gas caldi. Il nome ""laguna"" deriva dalla nube di polvere visibile ad est dell'ammasso aperto centrale. "
M9,NGC 6333,Ammasso globulare,Ofiuco,"A.R. 17h 19,2min; Dec. −18° 31'",26.000 a.l.,"7,9",9',70 a.l.,"M 9 (conosciuto anche come NGC 6333) è un ammasso globulare visibile nella costellazione dell'Ofiuco. M9 è uno degli ammassi globulari più vicini al nucleo della Via Lattea, con una distanza stimata di 5.500 anni luce dal centro galattico; il suo diametro angolare di 12 minuti d'arco e corrisponde a un'estensione di circa 90 anni luce, a una distanza di circa 25.800 anni luce dalla Terra. La sua magnitudine apparente è 7,7, la magnitudine assoluta -8.04; la luminosità totale dell'ammasso è circa 120.000 volte quella del Sole. Si allontana da noi alla velocità di 224 km/s. In M9 sono state scoperte 19 stelle variabili. Nelle vicinanze, a nord-est, c'è il debole ammasso globulare NGC 6356, mentre, più o meno alla stessa distanza a sud-est, c'è l'ammasso globulare NGC 6342."
M10,NGC 6254,Ammasso globulare,Ofiuco,"A.R. 16h 57,1min; Dec. −04° 06'",14.000 a.l.,"6,6",15',70 a.l.,"M 10 (conosciuto anche come NGC 6254) è un ammasso globulare situato nella costellazione dell'Ofiuco. L'ammasso è uno dei più vicini a noi dal momento che si trova a soli 14.000 anni luce. Nonostante un diametro modesto di soli 60 anni luce, il suo diametro apparente è invece abbastanza grande ed equivale alla metà del diametro della Luna piena. L'ammasso ha poche stelle variabili, ne contiene solo 3. Le stelle più brillanti dell'ammasso hanno una magnitudine apparente di 13. La sua velocità di recessione rispetto a noi è di 69 km/s."
